date_creat,titre,titre_court,objet,adrs_libcommune,adrg_libvoie,adrg_codepostal,siteweb
2015-08-06,HANUMAN BOXING BELLEY (H2B) TEAM GIRET,TEAM H2B,"promouvoir enseigner et encadrer la pratiques des disciplines suivantes : le muay thai et disciplines assimilées, le kick boxing et disciplines assimilées, le pancrace et disciplines assimilées, le sanda boxe chinoise et disciplines assimilées, ainsi que les disciplines associées, contact défense et boxe arabe",Belley,252  route de vieugey,1300.0,club.quomodo.com/multiboxebelley/
2014-01-18,SIROCCO SINON RIEN,SIROCCO SINON RIEN,"participation au rallye ""Trophée Roses des Sables"" ; ce raid 4x4 féminin permet à l'association ""Enfants du Désert"", grâce au partenariat avec l'organisation Désertours, de récolter chaque année plusieurs tonnes de matériel pour les enfants : les dons sont acheminés directement grâce aux 4x4 des participantes ; chaque équipage devant amener au minimum 50 kg ; l'association ""Sirocco sinon rien"" a pour but de permettre la récolte de ces dons",Saint-Denis-lès-Bourg,122  rue des Bouvreuils,1000.0,http://siroccosinonrien.trophee-roses-des-sables.org/
2015-01-26,OSMOZYA,OSMOZYA,"l'implantation de machines à eau dans des zones pauvres où l'eau est rare et/ou difficile d'accès ; création d'une plateforme où les génies créatifs pourront débattre et soumettre leurs idées dans le but de réconcilier l'homme avec son habitat pour affronter les grands défis de demain ; financement d'événements, de concours, de voyages et de conférences autour des thématiques environnementales, principalement liées à l'eau ; financement de la création et du développement des produits ""Osmozya""",Gex,1 chemin des vieux saules,1295.0,https://www.osmozya.org
2015-04-20,INTERNATIONAL BRIDGES TO JUSTICE FRANCE,INTERNATIONAL BRIDGES TO JUSTICE,"l'association devra être non-lucrative et ses objectifs devront être à but uniquement charitable et/ou éducatif ; l'association a pour objectif principal de renforcer le respect des droits fondamentaux des citoyens ordinaires à travers le monde ; l'association veille notamment au respect du droit à une représentation juridique compétente, du droit de ne pas subir de traitements cruels et inhumains, du droit à un procès équitable et du droit d'être jugé dans un délai raisonnable ; afin de réaliser cet objectif, l'association aide les défenseurs des droits de l'homme et les états dans la mise en place d'une aide judiciaire dont le but est de protéger les droits fondamentaux ; l'association aide également les pays à mettre en oeuvre les diverses lois et codes de nature pénale, fournissant une assistance juridique et/ou administrative ; les missions principales de l'association sont les suivantes : fournir des services de formation et du matériel aux organisations d'assistance juridique et de défense des droits des particuliers dans des pays tels que le Burundi, la Chine, le Cambodge, l'Inde, le Rwanda et le Zimbabwe (et plus tard dans d'autres pays jugés appropriés), aider au développement de systèmes de justice pénale plus équitables et efficaces dans ces pays",Hotonnes,64   de Monthoux,99999.0,www.ibj.org
2023-08-09,INDOFANS EN CONCERT,IEC,organiser des évènements lors des concerts d'Indochine et autres activités liées à la musique,Vendières,23   LES DENIZETS,2540.0,http://indofans.epizy.com/
2008-05-06,TAI CHI ALLIER,TAI CHI ALLIER,"regrouper les associations intéressées par la retransmission, par l'étude et la pratique d'un art martial interne chinois dénommé Tai Chi Chuan, style Yang, et des techniques diverses qui permettent de progresser dans sa compréhension",Montluçon,78 BIS RUE DES GRANDS PRÉS,3100.0,WWW.TAICHI-ALLDER.COM
2010-03-05,SINOFANS,SINOFANS,"organiser et assurer l'accueil d'arrivants (étudiants et nouveaux résidents), aides administratives, au logement, établissements scolaires ; assurer l'aide à l'implantation des entreprises françaises, chinoises et les négociations commerciales ; mettre en oeuvre les échanges culturels France/Chine entre villes, établissements et correspondants ; organiser des animations culturelles",Montluçon,22  avenue Léon Blum,3100.0,http://www.sinofrans.com
2020-10-20,ATELIER ARTISTIQUE SAINT-MICHEL & SAINT-JEAN DE PARIS (AAASMSJP),AAASMSJP,"promouvoir la culture par les arts et la science au travers d'ateliers et de stages ; la conception et la réalisation d'ateliers d'iconographie, de peinture aux techniques ancestrales ; l'organisation de stages d'initiation à la médecine chinoise, à la médecine ayurvédique, stages d'initiation aux différentes techniques de  libération des mémoires transgénérationnelles, stages d'initiation autres techniques thérapeutiques, stages d'initiation aux techniques de méditations, de qi quong, et de lien à la nature, stages de création d'objets d'arts, de bijoux en pierres naturelles, stages d'improvisation au piano avec la participation de marc vella, stages d'initiation à la permaculture, aux ressources autonomes, stages d'initiation à une vie favorisant le zéro déchet, diy, à la sobriété heureuse selon les principes de pierre rabhi, stage découverte de confections savoirs ancestraux, partages inter-générationnels, stages en chantiers participatifs avec les techniques écologiques et respectueuses de l'environnement ; l'organisation de toute manifestation pouvant offrir à la commune l'occasion de bénéficier des enseignements qui seront disponibles (conférences, vernissages, ateliers découvertes etc )",Meaulne,25 IMPASSE COQUATI,74270.0,http://www.isabellejarle.com
2023-02-24,HACK-LAB 03,HACK-LAB 03,"être un espace collaboratif dans le but d'échanger nos connaissances ; ouverte au public, cette association possède des outils et machines numériques ; elle encourage le faire par soi-même et le partage de connaissance entre adhérents",Moulins,160  RUE DE DECIZE,3000.0,https://hack-lab03.fr
2005-09-13,TAI CHI CHUAN DES SOURCES (TCC DES SOURCES),TCC DES SOURCES,Pratique et retransmission du Tai chi chuan 'original yang style'. Art martial interne chinois.,Vichy,47 RUE JOSEPH CLAUSSAT,63290.0,http://perso.orange.fr/taichi-des-sources
